Frecuencia;Patrón
9;['DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN']
9;['NOUN', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'DET']
9;['PUNCT', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
9;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
9;['ADP', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
9;['VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT']
9;['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP']
9;['ADP', 'DET', 'ADJ', 'NOUN', 'DET', 'NOUN']
9;['NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'PUNCT']
9;['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
9;['ADP', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET']
9;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN']
9;['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP']
9;['NOUN', 'PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT']
8;['NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ']
8;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
8;['ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP']
8;['ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']
8;['NOUN', 'CONJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
8;['NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
8;['ADP', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN']
8;['NOUN', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN']
8;['NOUN', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET']
8;['NOUN', 'ADJ', 'ADP', 'DET', 'DET', 'NOUN']
8;['ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']
8;['NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']
8;['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
8;['ADJ', 'ADP', 'DET', 'DET', 'NOUN', 'PUNCT']
8;['DET', 'NOUN', 'ADJ', 'DET', 'NOUN', 'ADP']
8;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ']
8;['DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP']
8;['PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
8;['ADP', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT']
8;['DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP']
8;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP']
8;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
8;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
8;['ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET']
8;['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
8;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET']
8;['PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
8;['NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN']
8;['ADP', 'DET', 'DET', 'NOUN', 'ADP', 'DET']
8;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
8;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB']
8;['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
7;['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'DET']
7;['ADP', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP']
7;['DET', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN']
7;['DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT']
7;['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN']
7;['ADP', 'NOUN', 'CONJ', 'ADP', 'NOUN', 'PUNCT']
7;['VERB', 'ADP', 'DET', 'DET', 'NOUN', 'ADP']
7;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
7;['ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT']
7;['ADJ', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
7;['NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
7;['ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN']
7;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'DET']
7;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB']
7;['ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN']
7;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']
7;['DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT']
7;['DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']
7;['NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN']
7;['NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
7;['VERB', 'DET', 'DET', 'NOUN', 'ADP', 'DET']
7;['NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
7;['NOUN', 'ADJ', 'DET', 'NOUN', 'ADP', 'DET']
7;['NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT']
7;['NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP']
7;['ADP', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']
7;['PROPN', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
7;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
7;['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET']
7;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
7;['ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'DET']
7;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB']
7;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET']
7;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
7;['DET', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']
7;['NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
6;['NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
6;['ADJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET']
6;['NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
6;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
6;['NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
6;['NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
6;['ADJ', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
6;['VERB', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT']
6;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
6;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'NOUN']
6;['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP']
6;['VERB', 'ADP', 'NOUN', 'DET', 'NOUN', 'PUNCT']
6;['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
6;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']
6;['ADP', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN']
6;['NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP']
6;['PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
6;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'NOUN']
6;['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT']
6;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADJ', 'PUNCT']
6;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
6;['ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'PUNCT']
6;['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
6;['DET', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET']
6;['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
6;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']
6;['ADP', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADP']
6;['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET']
6;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ']
6;['ADP', 'DET', 'ADJ', 'ADP', 'DET', 'NOUN']
6;['DET', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN']
6;['DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN']
6;['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP']
6;['DET', 'NOUN', 'DET', 'NOUN', 'PROPN', 'PUNCT']
6;['ADP', 'DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
6;['NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'ADJ']
6;['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN']
6;['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
6;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'DET']
6;['ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']
6;['NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN']
6;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB']
6;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
6;['NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN']
6;['NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP']
6;['ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
6;['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP']
6;['ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']
5;['ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN']
5;['VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
5;['ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
5;['ADP', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'ADP']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']
5;['ADJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'VERB', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP']
5;['ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']
5;['DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT']
5;['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN']
5;['VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
5;['ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']
5;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['ADP', 'PRON', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']
5;['ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'PUNCT']
5;['ADP', 'VERB', 'ADP', 'DET', 'DET', 'NOUN']
5;['DET', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'PUNCT']
5;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
5;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'DET']
5;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'ADJ']
5;['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP']
5;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP']
5;['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
5;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
5;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'DET']
5;['DET', 'NOUN', 'DET', 'ADJ', 'NOUN', 'PUNCT']
5;['NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'NOUN']
5;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
5;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
5;['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
5;['ADP', 'NOUN', 'DET', 'ADJ', 'NOUN', 'ADP']
5;['NOUN', 'VERB', 'ADP', 'NOUN', 'DET', 'NOUN']
5;['NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN']
5;['ADP', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN']
5;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
5;['ADP', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET']
5;['ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN']
5;['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
5;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN']
5;['NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'PUNCT']
5;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
5;['NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET']
5;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT']
5;['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'PUNCT']
5;['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ']
5;['NOUN', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']
5;['NOUN', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN']
5;['NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'ADP']
5;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET']
5;['DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
5;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']
5;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']
5;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
5;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'PROPN']
5;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'NOUN']
5;['ADJ', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['NOUN', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN']
5;['DET', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET']
5;['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
5;['DET', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN']
5;['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']
5;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
5;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'DET']
5;['DET', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
5;['PUNCT', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
5;['DET', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
5;['DET', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP']
5;['ADP', 'PROPN', 'ADP', 'DET', 'NOUN', 'PUNCT']
